station_id,name
JA000047401,WAKKANAI                       GSN     47401
JA000047402,KITAMIESASHI                           47402
JA000047404,HABORO                                 47404
JA000047405,OMU                                    47405
JA000047406,RUMOI                                  47406
JA000047407,ASAHIKAWA                              47407
JA000047409,ABASHIRI                               47409
JA000047411,OTARU                                  47411
JA000047412,SAPPORO                                47412
JA000047413,IWAMIZAWA                              47413
JA000047417,OBIHIRO                                47417
JA000047418,KUSHIRO                                47418
JA000047420,NEMURO                         GSN     47420
JA000047421,SUTTSU                                 47421
JA000047423,MURORAN                                47423
JA000047424,TOMAKOMAI                              47424
JA000047426,URAKAWA                                47426
JA000047428,ESASHI                                 47428
JA000047430,HAKODATE                               47430
JA000047433,KUTCHAN                                47433
JA000047435,MOMBETSU                               47435
JA000047440,HIROO                                  47440
JA000047512,OFUNATO                                47512
JA000047520,SHINJO                                 47520
JA000047570,WAKAMATSU                              47570
JA000047574,FUKAURA                                47574
JA000047575,AOMORI                                 47575
JA000047576,MUTSU                                  47576
JA000047581,HACHINOHE                              47581
JA000047582,AKITA                          GSN     47582
JA000047584,MORIOKA                                47584
JA000047585,MIYAKO                                 47585
JA000047587,SHONAI                                 47587
JA000047588,YAMAGATA                               47588
JA000047590,SENDAI                                 47590
JA000047592,ISHINOMAKI                             47592
JA000047595,FUKUSHIMA ARPT                         47595
JA000047597,SHIRAKAWA                              47597
JA000047598,ONAHAMA                                47598
JA000047600,WAJIMA                         GSN     47600
JA000047602,AIKAWA                                 47602
JA000047604,NIIGATA                                47604
JA000047605,KANAZAWA                               47605
JA000047606,FUSHIKI                                47606
JA000047607,TOYAMA                                 47607
JA000047610,NAGANO                                 47610
JA000047612,TAKADA                                 47612
JA000047615,UTSUNOMIYA                             47615
JA000047616,FUKUI                                  47616
JA000047617,TAKAYAMA                               47617
JA000047618,MATSUMOTO                              47618
JA000047620,SUWA                                   47620
JA000047622,KARUIZAWA                              47622
JA000047624,MAEBASHI                               47624
JA000047626,KUMAGAYA                               47626
JA000047629,MITO                                   47629
JA000047631,TSURUGA                                47631
JA000047632,GIFU                                   47632
JA000047636,NAGOYA                                 47636
JA000047637,IIDA                                   47637
JA000047638,KOFU                                   47638
JA000047640,KAWAGUCHIKO                            47640
JA000047641,CHICHIBU                               47641
JA000047648,CHOSHI                         GSN     47648
JA000047649,UENO                                   47649
JA000047651,TSU                                    47651
JA000047653,IRAKO                                  47653
JA000047654,HAMAMATSU                              47654
JA000047655,OMAEZAKI                               47655
JA000047656,SHIZUOKA                               47656
JA000047657,MISHIMA                                47657
JA000047662,TOKYO                                  47662
JA000047663,OWASE                                  47663
